visitor_id,headline,clicked
V001,Headline A,Click
V002,Headline A,Click
V003,Headline A,Click
V004,Headline A,Click
V005,Headline A,Click
V006,Headline A,Click
V007,Headline A,Click
V008,Headline A,Click
V009,Headline A,Click
V010,Headline A,Click
V011,Headline A,Click
V012,Headline A,Click
V013,Headline A,Click
V014,Headline A,Click
V015,Headline A,No-click
V016,Headline A,No-click
V017,Headline A,No-click
V018,Headline A,No-click
V019,Headline A,No-click
V020,Headline A,No-click
V021,Headline A,No-click
V022,Headline A,No-click
V023,Headline A,No-click
V024,Headline A,No-click
V025,Headline A,No-click
V026,Headline A,No-click
V027,Headline A,No-click
V028,Headline A,No-click
V029,Headline A,No-click
V030,Headline A,No-click
V031,Headline A,No-click
V032,Headline A,No-click
V033,Headline A,No-click
V034,Headline A,No-click
V035,Headline A,No-click
V036,Headline A,No-click
V037,Headline A,No-click
V038,Headline A,No-click
V039,Headline A,No-click
V040,Headline A,No-click
V041,Headline A,No-click
V042,Headline A,No-click
V043,Headline A,No-click
V044,Headline A,No-click
V045,Headline A,No-click
V046,Headline A,No-click
V047,Headline A,No-click
V048,Headline A,No-click
V049,Headline A,No-click
V050,Headline A,No-click
V051,Headline A,No-click
V052,Headline A,No-click
V053,Headline A,No-click
V054,Headline A,No-click
V055,Headline A,No-click
V056,Headline A,No-click
V057,Headline A,No-click
V058,Headline A,No-click
V059,Headline A,No-click
V060,Headline A,No-click
V061,Headline A,No-click
V062,Headline A,No-click
V063,Headline A,No-click
V064,Headline A,No-click
V065,Headline A,No-click
V066,Headline A,No-click
V067,Headline A,No-click
V068,Headline A,No-click
V069,Headline A,No-click
V070,Headline A,No-click
V071,Headline A,No-click
V072,Headline A,No-click
V073,Headline A,No-click
V074,Headline A,No-click
V075,Headline A,No-click
V076,Headline A,No-click
V077,Headline A,No-click
V078,Headline A,No-click
V079,Headline A,No-click
V080,Headline A,No-click
V081,Headline A,No-click
V082,Headline A,No-click
V083,Headline A,No-click
V084,Headline A,No-click
V085,Headline A,No-click
V086,Headline A,No-click
V087,Headline A,No-click
V088,Headline A,No-click
V089,Headline A,No-click
V090,Headline A,No-click
V091,Headline A,No-click
V092,Headline A,No-click
V093,Headline A,No-click
V094,Headline A,No-click
V095,Headline A,No-click
V096,Headline A,No-click
V097,Headline A,No-click
V098,Headline A,No-click
V099,Headline A,No-click
V100,Headline A,No-click
V101,Headline B,Click
V102,Headline B,Click
V103,Headline B,Click
V104,Headline B,Click
V105,Headline B,Click
V106,Headline B,Click
V107,Headline B,Click
V108,Headline B,Click
V109,Headline B,No-click
V110,Headline B,No-click
V111,Headline B,No-click
V112,Headline B,No-click
V113,Headline B,No-click
V114,Headline B,No-click
V115,Headline B,No-click
V116,Headline B,No-click
V117,Headline B,No-click
V118,Headline B,No-click
V119,Headline B,No-click
V120,Headline B,No-click
V121,Headline B,No-click
V122,Headline B,No-click
V123,Headline B,No-click
V124,Headline B,No-click
V125,Headline B,No-click
V126,Headline B,No-click
V127,Headline B,No-click
V128,Headline B,No-click
V129,Headline B,No-click
V130,Headline B,No-click
V131,Headline B,No-click
V132,Headline B,No-click
V133,Headline B,No-click
V134,Headline B,No-click
V135,Headline B,No-click
V136,Headline B,No-click
V137,Headline B,No-click
V138,Headline B,No-click
V139,Headline B,No-click
V140,Headline B,No-click
V141,Headline B,No-click
V142,Headline B,No-click
V143,Headline B,No-click
V144,Headline B,No-click
V145,Headline B,No-click
V146,Headline B,No-click
V147,Headline B,No-click
V148,Headline B,No-click
V149,Headline B,No-click
V150,Headline B,No-click
V151,Headline B,No-click
V152,Headline B,No-click
V153,Headline B,No-click
V154,Headline B,No-click
V155,Headline B,No-click
V156,Headline B,No-click
V157,Headline B,No-click
V158,Headline B,No-click
V159,Headline B,No-click
V160,Headline B,No-click
V161,Headline B,No-click
V162,Headline B,No-click
V163,Headline B,No-click
V164,Headline B,No-click
V165,Headline B,No-click
V166,Headline B,No-click
V167,Headline B,No-click
V168,Headline B,No-click
V169,Headline B,No-click
V170,Headline B,No-click
V171,Headline B,No-click
V172,Headline B,No-click
V173,Headline B,No-click
V174,Headline B,No-click
V175,Headline B,No-click
V176,Headline B,No-click
V177,Headline B,No-click
V178,Headline B,No-click
V179,Headline B,No-click
V180,Headline B,No-click
V181,Headline B,No-click
V182,Headline B,No-click
V183,Headline B,No-click
V184,Headline B,No-click
V185,Headline B,No-click
V186,Headline B,No-click
V187,Headline B,No-click
V188,Headline B,No-click
V189,Headline B,No-click
V190,Headline B,No-click
V191,Headline B,No-click
V192,Headline B,No-click
V193,Headline B,No-click
V194,Headline B,No-click
V195,Headline B,No-click
V196,Headline B,No-click
V197,Headline B,No-click
V198,Headline B,No-click
V199,Headline B,No-click
V200,Headline B,No-click
V201,Headline C,Click
V202,Headline C,Click
V203,Headline C,Click
V204,Headline C,Click
V205,Headline C,Click
V206,Headline C,Click
V207,Headline C,Click
V208,Headline C,Click
V209,Headline C,Click
V210,Headline C,Click
V211,Headline C,Click
V212,Headline C,Click
V213,Headline C,No-click
V214,Headline C,No-click
V215,Headline C,No-click
V216,Headline C,No-click
V217,Headline C,No-click
V218,Headline C,No-click
V219,Headline C,No-click
V220,Headline C,No-click
V221,Headline C,No-click
V222,Headline C,No-click
V223,Headline C,No-click
V224,Headline C,No-click
V225,Headline C,No-click
V226,Headline C,No-click
V227,Headline C,No-click
V228,Headline C,No-click
V229,Headline C,No-click
V230,Headline C,No-click
V231,Headline C,No-click
V232,Headline C,No-click
V233,Headline C,No-click
V234,Headline C,No-click
V235,Headline C,No-click
V236,Headline C,No-click
V237,Headline C,No-click
V238,Headline C,No-click
V239,Headline C,No-click
V240,Headline C,No-click
V241,Headline C,No-click
V242,Headline C,No-click
V243,Headline C,No-click
V244,Headline C,No-click
V245,Headline C,No-click
V246,Headline C,No-click
V247,Headline C,No-click
V248,Headline C,No-click
V249,Headline C,No-click
V250,Headline C,No-click
V251,Headline C,No-click
V252,Headline C,No-click
V253,Headline C,No-click
V254,Headline C,No-click
V255,Headline C,No-click
V256,Headline C,No-click
V257,Headline C,No-click
V258,Headline C,No-click
V259,Headline C,No-click
V260,Headline C,No-click
V261,Headline C,No-click
V262,Headline C,No-click
V263,Headline C,No-click
V264,Headline C,No-click
V265,Headline C,No-click
V266,Headline C,No-click
V267,Headline C,No-click
V268,Headline C,No-click
V269,Headline C,No-click
V270,Headline C,No-click
V271,Headline C,No-click
