visitor_id,variant,converted
V001,Page A,1
V002,Page A,1
V003,Page A,1
V004,Page A,1
V005,Page A,1
V006,Page A,1
V007,Page A,1
V008,Page A,1
V009,Page A,0
V010,Page A,0
V011,Page A,0
V012,Page A,0
V013,Page A,0
V014,Page A,0
V015,Page A,0
V016,Page A,0
V017,Page A,0
V018,Page A,0
V019,Page A,0
V020,Page A,0
V021,Page A,0
V022,Page A,0
V023,Page A,0
V024,Page A,0
V025,Page A,0
V026,Page A,0
V027,Page A,0
V028,Page A,0
V029,Page A,0
V030,Page A,0
V031,Page A,0
V032,Page A,0
V033,Page A,0
V034,Page A,0
V035,Page A,0
V036,Page A,0
V037,Page A,0
V038,Page A,0
V039,Page A,0
V040,Page A,0
V041,Page A,0
V042,Page A,0
V043,Page A,0
V044,Page A,0
V045,Page A,0
V046,Page A,0
V047,Page A,0
V048,Page A,0
V049,Page A,0
V050,Page A,0
V051,Page B,1
V052,Page B,1
V053,Page B,1
V054,Page B,1
V055,Page B,1
V056,Page B,1
V057,Page B,1
V058,Page B,1
V059,Page B,1
V060,Page B,1
V061,Page B,1
V062,Page B,1
V063,Page B,1
V064,Page B,1
V065,Page B,0
V066,Page B,0
V067,Page B,0
V068,Page B,0
V069,Page B,0
V070,Page B,0
V071,Page B,0
V072,Page B,0
V073,Page B,0
V074,Page B,0
V075,Page B,0
V076,Page B,0
V077,Page B,0
V078,Page B,0
V079,Page B,0
V080,Page B,0
V081,Page B,0
V082,Page B,0
V083,Page B,0
V084,Page B,0
V085,Page B,0
V086,Page B,0
V087,Page B,0
V088,Page B,0
V089,Page B,0
V090,Page B,0
V091,Page B,0
V092,Page B,0
V093,Page B,0
V094,Page B,0
V095,Page B,0
V096,Page B,0
V097,Page B,0
V098,Page B,0
V099,Page B,0
V100,Page B,0
