user_id,device,purchased
U001,Mobile,Yes
U002,Mobile,Yes
U003,Mobile,Yes
U004,Mobile,Yes
U005,Mobile,Yes
U006,Mobile,Yes
U007,Mobile,Yes
U008,Mobile,Yes
U009,Mobile,No
U010,Mobile,No
U011,Mobile,No
U012,Mobile,No
U013,Mobile,No
U014,Mobile,No
U015,Mobile,No
U016,Mobile,No
U017,Mobile,No
U018,Mobile,No
U019,Mobile,No
U020,Mobile,No
U021,Mobile,No
U022,Mobile,No
U023,Mobile,No
U024,Mobile,No
U025,Mobile,No
U026,Mobile,No
U027,Mobile,No
U028,Mobile,No
U029,Mobile,No
U030,Mobile,No
U031,Mobile,No
U032,Mobile,No
U033,Mobile,No
U034,Mobile,No
U035,Mobile,No
U036,Mobile,No
U037,Mobile,No
U038,Mobile,No
U039,Mobile,No
U040,Mobile,No
U041,Desktop,Yes
U042,Desktop,Yes
U043,Desktop,Yes
U044,Desktop,Yes
U045,Desktop,Yes
U046,Desktop,Yes
U047,Desktop,Yes
U048,Desktop,Yes
U049,Desktop,Yes
U050,Desktop,Yes
U051,Desktop,Yes
U052,Desktop,Yes
U053,Desktop,No
U054,Desktop,No
U055,Desktop,No
U056,Desktop,No
U057,Desktop,No
U058,Desktop,No
U059,Desktop,No
U060,Desktop,No
U061,Desktop,No
U062,Desktop,No
U063,Desktop,No
U064,Desktop,No
U065,Desktop,No
U066,Desktop,No
U067,Desktop,No
U068,Desktop,No
U069,Desktop,No
U070,Desktop,No
U071,Tablet,Yes
U072,Tablet,Yes
U073,Tablet,Yes
U074,Tablet,No
U075,Tablet,No
U076,Tablet,No
U077,Tablet,No
U078,Tablet,No
U079,Tablet,No
U080,Tablet,No
U081,Tablet,No
U082,Tablet,No
U083,Tablet,No
U084,Tablet,No
U085,Tablet,No
U086,Tablet,No
U087,Tablet,No
U088,Tablet,No
U089,Tablet,No
U090,Tablet,No
U091,Tablet,No
U092,Tablet,No
U093,Tablet,No
U094,Tablet,No
U095,Tablet,No
U096,Tablet,No
U097,Tablet,No
U098,Tablet,No
U099,Tablet,No
U100,Tablet,No
